标题,区域,地段,小区,空间,面积,朝向,装修,楼层,建成时间,构筑物,单价每平,总价,关注,距今发布日期
北滨路龙湖品质看江五房  带车位,江北,北滨路,龙湖春森彼岸,5室2厅,173.27平米,西南,毛坯,34层,2010年建,板塔结合,"19,912元/平",345,11人关注,10天以前发布
地处鸿恩寺公园，专用电梯直达公园,江北,鸿恩寺,保利山庄梧桐,4室2厅,148.1平米,北,毛坯,8层,,板楼,"21,270元/平",315,1人关注,8天以前发布
观音桥正规两房，带150平的私家大露台,江北,花卉园,富悦阳光,2室1厅,80.6平米,东 西北,简装,高楼层(共32层),2007年建,塔楼,"15,881元/平",128,8人关注,11天以前发布
精装修三房住家安静，公园近，气流通格局旺交通发达,江北,龙头寺,庆业九寨印象,3室2厅,126.24平米,西南,精装,低楼层(共34层),2013年建,塔楼,"13,863元/平",175,2人关注,3天以前发布
保利正规三房！户型方正，采光视野很好 住家温馨舒适,江北,南桥寺,保利香雪,3室1厅,115.13平米,北,毛坯,中楼层(共32层),2013年建,塔楼,"15,635元/平",180,13人关注,14天以前发布
19年次新房，四房双卫朝中庭，户型方正采光好,江北,海尔路,北大资源海樾府C区,4室2厅,113.46平米,东北,毛坯,低楼层(共33层),,塔楼,"11,899元/平",135,1人关注,5天以前发布
江北嘴万科御澜道电梯入户大平层美式风格,江北,江北嘴,万科御澜道,3室1厅,163.76平米,东 东南 南,毛坯,中楼层(共49层),2019年建,塔楼,"20,457元/平",335,7人关注,6天以前发布
观音桥经典一房拎包入住，观音桥经典一房拎包入住,江北,观音桥,耐德佳苑,1室1厅,47.76平米,南,精装,低楼层(共34层),2000年建,板塔结合,"14,238元/平",68,0人关注,6天以前发布
万科纯板式洋房通透、全明户型、采光好、户型方正,江北,石马河,万科悦湾南区,4室2厅,150.41平米,南 北,毛坯,8层,,板楼,"14,295元/平",215,23人关注,31天以前发布
江北嘴+看两江交汇+精装3房2卫+轻轨房,江北,江北嘴,中海紫御江山熙岸,3室1厅,118平米,东,精装,高楼层(共49层),2016年建,塔楼,"26,695元/平",315,5人关注,28天以前发布
