区域,地段,小区,空间,面积,朝向,装修,楼层,建成时间,单价每平,总价
江北,北滨路,龙湖春森彼岸,5室2厅,173.27平米,西南,毛坯,34层,2010年建,"19,912元/平",345.0
江北,花卉园,富悦阳光,2室1厅,80.6平米,东 西北,简装,高楼层(共32层),2007年建,"15,881元/平",128.0
江北,龙头寺,庆业九寨印象,3室2厅,126.24平米,西南,精装,低楼层(共34层),2013年建,"13,863元/平",175.0
江北,南桥寺,保利香雪,3室1厅,115.13平米,北,毛坯,中楼层(共32层),2013年建,"15,635元/平",180.0
江北,江北嘴,万科御澜道,3室1厅,163.76平米,东 东南 南,毛坯,中楼层(共49层),2019年建,"20,457元/平",335.0
江北,观音桥,耐德佳苑,1室1厅,47.76平米,南,精装,低楼层(共34层),2000年建,"14,238元/平",68.0
江北,江北嘴,中海紫御江山熙岸,3室1厅,118平米,东,精装,高楼层(共49层),2016年建,"26,695元/平",315.0
江北,花卉园,黄金堡城市花园,5室2厅,251.07平米,南,简装,低楼层(共3层),2004年建,"7,767元/平",195.0
江北,五里店,融景城锦峰,4室2厅,143.87平米,南,毛坯,低楼层(共40层),2014年建,"16,126元/平",232.0
江北,海尔路,保利观澜悦城,3室2厅,78.08平米,西南,毛坯,低楼层(共33层),2018年建,"22,029元/平",172.0
江北,五里店,融景城朗峰,3室1厅,81.5平米,南,精装,高楼层(共33层),2016年建,"23,313元/平",190.0
江北,石子山,龙湖源著南区,3室2厅,91.12平米,东 北,简装,32层,2012年建,"20,633元/平",188.0
江北,鸿恩寺,嘉凯城北麓官邸,4室3厅,230.03平米,东南,毛坯,3层,2013年建,"16,955元/平",390.0
江北,观音桥,龙湖枫香庭,3室1厅,119.92平米,南 北,简装,高楼层(共32层),2002年建,"16,261元/平",195.0
江北,五里店,融景城郦苑,3室2厅,174.4平米,东南,精装,中楼层(共40层),2013年建,"16,916元/平",295.0
江北,观音桥,玉景苑,3室1厅,116.24平米,南,其他,中楼层(共31层),2009年建,"15,486元/平",180.0
